Year,Goals_per_90,Assists_per_90,G+A_per_90
2010,2.3800000000000003,1.3400000000000003,3.7200000000000006
2011,2.43,1.99,4.42
2012,2.4699999999999998,2.21,4.68
2013,2.97,3.18,6.15
2014,2.5300000000000002,2.24,4.7700000000000005
2015,3.82,2.61,6.43
2016,3.21,2.55,5.76
2017,2.5300000000000002,2.51,5.04
2018,4.78,3.52,8.3
2019,3.62,3.15,6.77
2020,3.45,2.1900000000000004,5.640000000000001
2021,2.25,1.8599999999999999,4.109999999999999
2022,4.42,1.8299999999999998,6.25
2023,1.9500000000000002,1.12,3.0700000000000003
2024,4.869999999999999,2.5700000000000003,7.4399999999999995
